BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
<NA>	<NA>		+	v̼	<NA>						1	
kʼ	voiceless velar ejective stop consonant		+	kʼ	◌k ◌ʼ						6	◌k ◌ʼ
kʼʷ	labialized voiceless velar ejective stop consonant		+	kʼʷ	◌k ◌ʼ ◌ʷ						1	◌k ◌ʼ ◌ʷ
kʼʷ	labialized voiceless velar ejective stop consonant		+	kʷʼ	◌k ◌ʼ ◌ʷ						2	◌k ◌ʼ ◌ʷ
pʼ	voiceless bilabial ejective stop consonant		+	pʼ	◌p ◌ʼ						3	◌p ◌ʼ
qʼ	voiceless uvular ejective stop consonant		+	qʼ	◌q ◌ʼ						2	◌q ◌ʼ
qʼʷ	labialized voiceless uvular ejective stop consonant		+	qʼʷ	◌q ◌ʼ ◌ʷ						1	◌q ◌ʼ ◌ʷ
sʼ	voiceless alveolar ejective sibilant fricative consonant		+	sʼ	◌s ◌ʼ						1	◌s ◌ʼ
tsʼ	voiceless alveolar ejective sibilant affricate consonant		+	tsʼ	◌t ◌s ◌ʼ						5	◌t ◌s ◌ʼ
tɬʼ	voiceless alveolar ejective lateral affricate consonant		+	tɬʼ	◌t ◌ɬ ◌ʼ						3	◌t ◌ɬ ◌ʼ
tʃʼ	voiceless post-alveolar ejective sibilant affricate consonant		+	tʃʼ	◌t ◌ʃ ◌ʼ						5	◌t ◌ʃ ◌ʼ
tʃʼː	long voiceless post-alveolar ejective sibilant affricate consonant		+	tʃʼː	◌t ◌ʃ ◌ʼ ◌ː						1	◌t ◌ʃ ◌ʼ ◌ː
tʼ	voiceless alveolar ejective stop consonant		+	tʼ	◌t ◌ʼ						4	◌t ◌ʼ
<NA>	<NA>		+	aʊɪ	<NA>						1	triphthong
<NA>	<NA>		+	eəɪ	<NA>						1	triphthong
<NA>	<NA>		+	iau	<NA>						2	triphthong
<NA>	<NA>		+	iou	<NA>						1	triphthong
<NA>	<NA>		+	iəɪ	<NA>						1	triphthong
<NA>	<NA>		+	jai̯	<NA>						1	triphthong
<NA>	<NA>		+	jau̯	<NA>						1	triphthong
<NA>	<NA>		+	jeu̯	<NA>						1	triphthong
<NA>	<NA>		+	ld	<NA>						1	
<NA>	<NA>		+	oəɪ	<NA>						1	triphthong
<NA>	<NA>		+	uai	<NA>						1	
<NA>	<NA>		+	uei	<NA>						1	
<NA>	<NA>		+	wai̯	<NA>						1	
<NA>	<NA>		+	wei̯	<NA>						1	
z̻	voiced laminal alveolar sibilant fricative consonant		+	z̻	◌z ◌̻						1	
ǁʼ	voiceless alveolar ejective lateral click consonant	+	+	ǁʼ	◌ǁ ◌ʼ						1	
<NA>	<NA>		+	ɔoũ	<NA>						1	triphthong
<NA>	<NA>		+	əɪa	<NA>						1	triphthong
<NA>	<NA>		+	əʁ̞	<NA>						1	
<NA>	<NA>		+	əʊɪ	<NA>						1	triphthong
a	unrounded open front vowel		+	a	◌a						126	
ae	from unrounded open front to unrounded close-mid front diphthong	+	+	ae	◌a ◌e						1	
ae̯	from unrounded open front to non-syllabic unrounded close-mid front diphthong	+	+	ae̯	◌a ◌e ◌̯						2	
ai	from unrounded open front to unrounded close front diphthong	+	+	ai	◌a ◌i						12	
ai̯	from unrounded open front to non-syllabic unrounded close front diphthong	+	+	ai̯	◌a ◌i ◌̯						2	
ai̯	from unrounded open front to non-syllabic unrounded close front diphthong	+	+	aj	◌a ◌i ◌̯						4	
ao̯	from unrounded open front to non-syllabic rounded close-mid back diphthong	+	+	ao̯	◌a ◌o ◌̯						1	
au	from unrounded open front to rounded close back diphthong	+	+	au	◌a ◌u						16	
au̯	from unrounded open front to non-syllabic rounded close back diphthong	+	+	au̯	◌a ◌u ◌̯						2	
au̯	from unrounded open front to non-syllabic rounded close back diphthong	+	+	aw	◌a ◌u ◌̯						4	
aɛ	from unrounded open front to unrounded open-mid front diphthong	+	+	aɛ	◌a ◌ɛ						1	
aɛ̯	from unrounded open front to non-syllabic unrounded open-mid front diphthong	+	+	aɛ̯	◌a ◌ɛ ◌̯						1	
aɪ	from unrounded open front to unrounded near-close near-front diphthong	+	+	aɪ	◌a ◌ɪ						9	
aɪ̃	from unrounded open front to nasalized unrounded near-close near-front diphthong	+	+	aɪ̃	◌a ◌ɪ ◌̃						1	
aɵ̯	from unrounded open front to non-syllabic rounded close-mid central diphthong	+	+	aɵ̯	◌a ◌ɵ ◌̯						1	
aʊ	from unrounded open front to rounded near-close near-back diphthong	+	+	aʊ	◌a ◌ʊ						8	
aʊ̃	from unrounded open front to nasalized rounded near-close near-back diphthong	+	+	aʊ̃	◌a ◌ʊ ◌̃						1	
aˀ	glottalized unrounded open front vowel	+	+	aʔ	◌a ◌ˀ						1	
aː	long unrounded open front vowel		+	aː	◌a ◌ː						54	
aːi	from long unrounded open front to unrounded close front diphthong	+	+	aːi	◌a ◌ː ◌i						1	
aːu	from long unrounded open front to rounded close back diphthong	+	+	aːu	◌a ◌ː ◌u						1	
aˑ	mid-long unrounded open front vowel		+	aˑ	◌a ◌ˑ						3	
a˞	rhotacized unrounded open front vowel		+	a˞	◌a ◌˞						1	
aˠ	velarized unrounded open front vowel	+	+	aˠ	◌a ◌ˠ						1	
aˤ	pharyngealized unrounded open front vowel	+	+	aˤ	◌a ◌ˤ						2	
aˤː	long pharyngealized unrounded open front vowel	+	+	aˤ:	◌a ◌ˤ ◌ː						1	
ã	nasalized unrounded open front vowel		+	ã	◌a ◌̃						16	
ãː	long nasalized unrounded open front vowel		+	ãː	◌a ◌̃ ◌ː						4	
ãˤ	pharyngealized nasalized unrounded open front vowel	+	+	ãˤ	◌a ◌̃ ◌ˤ						1	
a̤	breathy unrounded open front vowel	+	+	a̤	◌a ◌̤						2	
a̤ː	long breathy unrounded open front vowel	+	+	a̤ː	◌a ◌̤ ◌ː						1	
a̤ˑ	mid-long breathy unrounded open front vowel	+	+	a̤ˑ	◌a ◌̤ ◌ˑ						1	
a̰	creaky unrounded open front vowel		+	a̰	◌a ◌̰						3	
ã̰	nasalized creaky unrounded open front vowel	+	+	ã̰	◌a ◌̰ ◌̃						1	
b	voiced bilabial stop consonant		+	b	◌b						127	
bʰ	aspirated voiced bilabial stop consonant		+	bʰ	◌b ◌ʰ						1	
bʰː	aspirated long voiced bilabial stop consonant		+	bʰː	◌b ◌ʰ ◌ː						1	
bʱ	breathy voiced bilabial stop consonant		+	bʱ	◌b ◌ʱ						6	
bʱː	long breathy voiced bilabial stop consonant		+	bbʱ	◌b ◌ʱ ◌ː						1	
bʱː	long breathy voiced bilabial stop consonant		+	bʱː	◌b ◌ʱ ◌ː						1	
bʲ	palatalized voiced bilabial stop consonant		+	bʲ	◌b ◌ʲ						4	
bʷ	labialized voiced bilabial stop consonant		+	bʷ	◌b ◌ʷ						1	
bʷː	labialized long voiced bilabial stop consonant		+	bʷː	◌b ◌ʷ ◌ː						1	
bː	long voiced bilabial stop consonant		+	b:	◌b ◌ː						1	
bː	long voiced bilabial stop consonant		+	bb	◌b ◌ː						1	
bː	long voiced bilabial stop consonant		+	bː	◌b ◌ː						13	
bˠ	velarized voiced bilabial stop consonant		+	bˠ	◌b ◌ˠ						1	
b̥	devoiced voiced bilabial stop consonant		+	b̥	◌b ◌̥						3	
c	voiceless palatal stop consonant		+	c	◌c						26	
cç	voiceless palatal affricate consonant		+	cç	◌c ◌c ◌̧						1	
cç	voiceless palatal affricate consonant		+	tç	◌c ◌c ◌̧						2	
cçː	long voiceless palatal affricate consonant	+	+	cçː	◌c ◌c ◌̧ ◌ː						1	
cʰ	aspirated voiceless palatal stop consonant		+	cʰ	◌c ◌ʰ						3	
cː	long voiceless palatal stop consonant		+	cː	◌c ◌ː						1	
ç	voiceless palatal sibilant fricative consonant		+	ç	◌c ◌̧						7	
cⁿ	with-nasal-release voiceless palatal stop consonant	+	+	cn	◌c ◌ⁿ						1	
d	voiced alveolar stop consonant		+	d	◌d						122	
dz	voiced alveolar sibilant affricate consonant		+	dz	◌d ◌z						18	
dz	voiced alveolar sibilant affricate consonant		+	d͜z	◌d ◌z						1	
dzʱ	breathy voiced alveolar sibilant affricate consonant	+	+	dzʱ	◌d ◌z ◌ʱ						1	
dzʱː	long breathy voiced alveolar sibilant affricate consonant	+	+	dzʱː	◌d ◌z ◌ʱ ◌ː						1	
dzʲ	palatalized voiced alveolar sibilant affricate consonant	+	+	dzʲ	◌d ◌z ◌ʲ						2	
dzː	long voiced alveolar sibilant affricate consonant		+	dzdz	◌d ◌z ◌ː						1	
